"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","578.9","620.3","682.3",673,"600.3","648.6",716.7
"Procurement","949.6","1040.8","1123.7",1434.41,"1261.1","1377.6",1947
"Flyaway","--","--","--",1322.9,"--","--",1797.5
"Recurring","--","--","--",1222.5,"--","--",1663.3
"Non Recurring","--","--","--",100.4,"--","--",134.2
"Support","--","--","--",111.5,"--","--",149.5
"Other Support","--","--","--",101.9,"--","--",137.8
"Initial Spares","--","--","--",9.6,"--","--",11.7
"MILCON","0.0","0.0","--",0,"0.0","0.0",0
"Acq O&M","0.0","0.0","--",0,"0.0","0.0",0
"Total","1528.5","1661.1","N/A",2107.4,"1861.4","2026.2",2663.7
