"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","988.2","988.2","1087.0",1013,"1073.8","1073.8",1081.8
"Procurement","9736.6","9736.6","10710.3",9736.8,"12871.0","12871.0",12760.6
"Flyaway","--","--","--",9183.8,"--","--",12042.6
"Recurring","--","--","--",9145.4,"--","--",11999.8
"Non Recurring","--","--","--",38.4,"--","--",42.8
"Support","--","--","--",553,"--","--",718
"Other Support","--","--","--",370.9,"--","--",479.1
"Initial Spares","--","--","--",182.1,"--","--",238.9
"MILCON","0.0","0.0","0.0",0,"0.0","0.0",0
"Acq O&M","0.0","0.0","0.0",0,"0.0","0.0",0
"Total","10724.8","10724.8","N/A",10749.8,"13944.8","13944.8",13842.4
