"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","1722.9","1734.3","1907.7",1691.4,"1643.5","1645.0",1601.2
"Procurement","5415.9","5396.3","5935.9",5001.6,"6042.1","5860.4",5460.1
"Flyaway","--","--","--",4170.6,"--","--",4560.3
"Recurring","--","--","--",4170.6,"--","--",4560.3
"Non Recurring","--","--","--",0,"--","--",0
"Support","--","--","--",831,"--","--",899.8
"Other Support","--","--","--",291.1,"--","--",316.4
"Initial Spares","--","--","--",539.9,"--","--",583.4
"MILCON","7.8","5.1","5.6",5,"8.5","5.3",5.3
"Acq O&M","0.0","0.0","--",0,"0.0","0.0",0
"Total","7146.6","7135.7","N/A",6698,"7694.1","7510.7",7066.6
