"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","179.7","183.3","201.6",183.3,"171.0","171.6",171.6
"Procurement","10435.1","11869.0","13055.9",12826.9,"11976.4","13464.6",14702.6
"Flyaway","--","--","--",12072,"--","--",13841.4
"Recurring","--","--","--",11732.8,"--","--",13509
"Non Recurring","--","--","--",339.2,"--","--",332.4
"Support","--","--","--",754.9,"--","--",861.2
"Other Support","--","--","--",703,"--","--",800.7
"Initial Spares","--","--","--",51.9,"--","--",60.5
"MILCON","0.0","0.0","--",0,"0.0","0.0",0
"Acq O&M","0.0","0.0","--",0,"0.0","0.0",0
"Total","10614.8","12052.3","N/A",13010.2,"12147.4","13636.2",14874.2
