"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","3875.3","4123.4","--",4080.7,"4333.4","4744.6",4794.3
"Procurement","24825.9","24357.7","--",23740.7,"31748.7","33258.8",38897.5
"Flyaway","--","--","--",23734.3,"--","--",38888.8
"Recurring","--","--","--",20540.6,"--","--",34184.6
"Non Recurring","--","--","--",3193.7,"--","--",4704.2
"Support","--","--","--",6.4,"--","--",8.7
"Other Support","--","--","--",6.4,"--","--",8.7
"Initial Spares","--","--","--",0,"--","--",0
"MILCON","0.0","152.0","--",46.2,"0.0","208.5",56.9
"Acq O&M","0.0","0.0","--",54.4,"0.0","0.0",73.8
"Total","28701.2","28633.1","N/A",27922,"36082.1","38211.9",43822.5
