"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","993.4","1002.6","1102.9",1006.5,"972.7","984.0",988.3
"Procurement","661.2","688.2","757.0",745.6,"706.3","746.3",812.2
"Flyaway","--","--","--",742.8,"--","--",809.2
"Recurring","--","--","--",708.1,"--","--",770.4
"Non Recurring","--","--","--",34.7,"--","--",38.8
"Support","--","--","--",2.8,"--","--",3
"Other Support","--","--","--",2.8,"--","--",3
"Initial Spares","--","--","--",0,"--","--",0
"MILCON","0.0","0.0","0.0",0,"0.0","0.0",0
"Acq O&M","0.0","0.0","0.0",0,"0.0","0.0",0
"Total","1654.6","1690.8","N/A",1752.1,"1679.0","1730.3",1800.5
