"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","2623.9","2981.9","3280.1",2926,"2653.8","3080.1",3018.6
"Procurement","1519.0","2303.3","2533.9",2254.4,"1616.0","2570.0",2538.8
"Flyaway","--","--","--",1855.4,"--","--",2041.1
"Recurring","--","--","--",1847.5,"--","--",2031.7
"Non Recurring","--","--","--",7.9,"--","--",9.4
"Support","--","--","--",399,"--","--",497.7
"Other Support","--","--","--",399,"--","--",497.7
"Initial Spares","--","--","--",0,"--","--",0
"MILCON","0.0","0.0","0.0",0,"0.0","0.0",0
"Acq O&M","0.0","0.0","0.0",0,"0.0","0.0",0
"Total","4142.9","5285.2","N/A",5180.4,"4269.8","5650.1",5557.4
