"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","1405.8","1485.1","--",1505.6,"1199.8","1304.5",1326.7
"Procurement","3648.7","5157.5","--",5213.3,"3756.2","5954.3",5937.8
"Flyaway","--","--","--",4286.8,"--","--",4857.4
"Recurring","--","--","--",4286.8,"--","--",4857.4
"Non Recurring","--","--","--",0,"--","--",0
"Support","--","--","--",926.5,"--","--",1080.4
"Other Support","--","--","--",923.6,"--","--",1076.7
"Initial Spares","--","--","--",2.9,"--","--",3.7
"MILCON","31.0","0.0","--",0,"25.1","0.0",0
"Acq O&M","0.0","0.0","--",0,"0.0","0.0",0
"Total","5085.5","6642.6","N/A",6718.9,"4981.1","7258.8",7264.5
