"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","1254.7","1254.7","1380.2",1313.1,"1238.5","1238.5",1326.1
"Procurement","6987.9","6987.9","7686.7",7442.5,"7962.5","7962.5",9580.9
"Flyaway","--","--","--",5406,"--","--",7015.2
"Recurring","--","--","--",5242.9,"--","--",6832.6
"Non Recurring","--","--","--",163.1,"--","--",182.6
"Support","--","--","--",2036.5,"--","--",2565.7
"Other Support","--","--","--",1834.1,"--","--",2301.9
"Initial Spares","--","--","--",202.4,"--","--",263.8
"MILCON","0.0","0.0","--",0,"0.0","0.0",0
"Acq O&M","0.0","0.0","--",0,"0.0","0.0",0
"Total","8242.6","8242.6","N/A",8755.6,"9201.0","9201.0",10907
