"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","35.6","35.6","39.2",38.1,"35.5","35.5",37.8
"Procurement","9198.3","9198.3","10118.1",8644.9,"9846.3","9846.3",9753.9
"Flyaway","--","--","--",7390.7,"--","--",8379.2
"Recurring","--","--","--",7223.6,"--","--",8181.1
"Non Recurring","--","--","--",167.1,"--","--",198.1
"Support","--","--","--",1254.2,"--","--",1374.7
"Other Support","--","--","--",826.5,"--","--",907.8
"Initial Spares","--","--","--",427.7,"--","--",466.9
"MILCON","0.0","0.0","--",0,"0.0","0.0",0
"Acq O&M","0.0","0.0","--",0,"0.0","0.0",0
"Total","9233.9","9233.9","N/A",8683,"9881.8","9881.8",9791.7
