"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","199.9","240.6","264.7",378.91,"197.5","239.9",403.2
"Procurement","2677.5","5420.9","5963.0",7952.01,"2896.0","6563.4",10421.9
"Flyaway","--","--","--",7952,"--","--",10421.9
"Recurring","--","--","--",7952,"--","--",10421.9
"Non Recurring","--","--","--",0,"--","--",0
"Support","--","--","--",0,"--","--",0
"Other Support","--","--","--",0,"--","--",0
"Initial Spares","--","--","--",0,"--","--",0
"MILCON","0.0","0.0","--",0,"0.0","0.0",0
"Acq O&M","0.0","1.6","1.8",2.21,"0.0","1.6",2.2
"Total","2877.4","5663.1","N/A",8333.1,"3093.5","6804.9",10827.3
