"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","2233.7","2233.7","2457.1",2343.9,"2415.6","2415.6",2513.5
"Procurement","4116.7","4116.7","4528.4",3999.5,"4995.0","4995.0",5039.5
"Flyaway","--","--","--",3999.5,"--","--",5039.5
"Recurring","--","--","--",3999.5,"--","--",5039.5
"Non Recurring","--","--","--",0,"--","--",0
"Support","--","--","--",0,"--","--",0
"Other Support","--","--","--",0,"--","--",0
"Initial Spares","--","--","--",0,"--","--",0
"MILCON","29.1","29.1","32.0",29.5,"37.7","37.7",35.7
"Acq O&M","0.0","0.0","--",0,"0.0","0.0",0
"Total","6379.5","6379.5","N/A",6372.9,"7448.3","7448.3",7588.7
