"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","895.3","931.7","1024.9",940.4,"896.3","945.3",951.8
"Procurement","3364.7","2988.0","3286.8",3276.3,"3572.0","3217.3",3502.4
"Flyaway","--","--","--",2472.2,"--","--",2641.3
"Recurring","--","--","--",2215.2,"--","--",2370.3
"Non Recurring","--","--","--",257,"--","--",271
"Support","--","--","--",804.1,"--","--",861.1
"Other Support","--","--","--",502.2,"--","--",541
"Initial Spares","--","--","--",301.9,"--","--",320.1
"MILCON","992.0","578.5","636.4",608.9,"1080.7","640.2",667.2
"Acq O&M","0.0","0.0","--",0,"0.0","0.0",0
"Total","5252.0","4498.2","N/A",4825.6,"5549.0","4802.8",5121.4
