"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","541.1","617.1","678.8",1039.71,"530.3","614.4",1109.2
"Procurement","1522.4","1748.9","1923.8",1409,"1821.5","2226.1",1695.9
"Flyaway","--","--","--",922.6,"--","--",1106.4
"Recurring","--","--","--",893.2,"--","--",1069.5
"Non Recurring","--","--","--",29.4,"--","--",36.9
"Support","--","--","--",486.4,"--","--",589.5
"Other Support","--","--","--",377.3,"--","--",464.5
"Initial Spares","--","--","--",109.1,"--","--",125
"MILCON","119.6","0.0","--",0,"126.0","0.0",0
"Acq O&M","183.3","0.0","--",0,"309.3","0.0",0
"Total","2366.4","2366.0","N/A",2448.7,"2787.1","2840.5",2805.1
