"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","869.4","1637.5","1801.3",1738.8,"825.8","1750.6",1877
"Procurement","955.4","1393.5","1532.9",2133.51,"993.1","1585.6",2615.7
"Flyaway","--","--","--",1946.3,"--","--",2407.1
"Recurring","--","--","--",1873.8,"--","--",2335.7
"Non Recurring","--","--","--",72.5,"--","--",71.4
"Support","--","--","--",187.2,"--","--",208.6
"Other Support","--","--","--",39.8,"--","--",44.8
"Initial Spares","--","--","--",147.4,"--","--",163.8
"MILCON","0.0","0.0","--",0,"0.0","0.0",0
"Acq O&M","0.0","0.0","--",0,"0.0","0.0",0
"Total","1824.8","3031.0","N/A",3872.3,"1818.9","3336.2",4492.7
