"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","555.9","729.8","802.8",728.1,"631.3","868.6",868.6
"Procurement","962.0","1041.6","1145.8",1039.5,"1221.7","1368.4",1368.4
"Flyaway","--","--","--",1039.5,"--","--",1368.4
"Recurring","--","--","--",539.2,"--","--",703.3
"Non Recurring","--","--","--",500.3,"--","--",665.1
"Support","--","--","--",0,"--","--",0
"Other Support","--","--","--",0,"--","--",0
"Initial Spares","--","--","--",0,"--","--",0
"MILCON","0.0","0.0","0.0",0,"0.0","0.0",0
"Acq O&M","0.0","0.0","0.0",0,"0.0","0.0",0
"Total","1517.9","1771.4","N/A",1767.6,"1853.0","2237.0",2237
