"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","1084.3","1084.3","1192.7",1087.3,"1102.0","1102.0",1098.6
"Procurement","5759.3","5759.3","6335.2",5916.8,"6850.5","6850.5",6934.3
"Flyaway","--","--","--",5457.8,"--","--",6390.7
"Recurring","--","--","--",5399.1,"--","--",6328.4
"Non Recurring","--","--","--",58.7,"--","--",62.3
"Support","--","--","--",459,"--","--",543.6
"Other Support","--","--","--",330.7,"--","--",393.4
"Initial Spares","--","--","--",128.3,"--","--",150.2
"MILCON","0.0","0.0","0.0",0,"0.0","0.0",0
"Acq O&M","0.0","0.0","0.0",0,"0.0","0.0",0
"Total","6843.6","6843.6","N/A",7004.1,"7952.5","7952.5",8032.9
