"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","4992.3","4992.3","--",3410.7,"5737","5737",3897.7
"Procurement","17759.1","17759.1","--",5908.6,"24158.4","24158.4",8718.6
"Flyaway","--","--","--",5397.5,"--","--",7972.8
"Recurring","--","--","--",5329.1,"--","--",7889.6
"Non Recurring","--","--","--",68.4,"--","--",83.2
"Support","--","--","--",511.1,"--","--",745.8
"Other Support","--","--","--",511.1,"--","--",745.8
"Initial Spares","--","--","--",0,"--","--",0
"MILCON","0","0","--",0,"0","0",0
"Acq O&M","0","0","--",0,"0","0",0
"Total","22751.4","22751.4","N/A",9319.3,"29895.4","29895.4",12616.3
