"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","1678.1","1678.1","1845.9",1777.9,"1648.9","1648.9",1757.5
"Procurement","2376.8","2376.8","2614.5",2392.5,"2792.0","2792.0",2797.4
"Flyaway","--","--","--",2122.5,"--","--",2490.4
"Recurring","--","--","--",2122.5,"--","--",2490.4
"Non Recurring","--","--","--",0,"--","--",0
"Support","--","--","--",270,"--","--",307
"Other Support","--","--","--",270,"--","--",307
"Initial Spares","--","--","--",0,"--","--",0
"MILCON","0.0","0.0","0.0",0,"0.0","0.0",0
"Acq O&M","0.0","0.0","0.0",0,"0.0","0.0",0
"Total","4054.9","4054.9","N/A",4170.4,"4440.9","4440.9",4554.9
