"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","3016.6","8544.3","--",8451.2,"3386.5","10299.1",10184.5
"Flyaway","--","--","--",0,"--","--",0
"Recurring","--","--","--",0,"--","--",0
"Non Recurring","--","--","--",0,"--","--",0
"Support","--","--","--",0,"--","--",0
"Procurement","3178.3","5193.6","--",4734.1,"4449.9","7193.2",6591.5
"Flyaway","--","--","--",4059.1,"--","--",5644.4
"Recurring","--","--","--",3296.2,"--","--",4604.8
"Non Recurring","--","--","--",762.9,"--","--",1039.6
"Support","--","--","--",675,"--","--",947.1
"Other Support","--","--","--",675,"--","--",947.1
