"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","564.9","564.9","621.4",623.71,"581.0","581.9",663.1
"Procurement","2412.4","4962.6","5458.8",4501.1,"2709.3","6303.5",5727.3
"Flyaway","--","--","--",4412.8,"--","--",5616.3
"Recurring","--","--","--",3956,"--","--",4880.9
"Non Recurring","--","--","--",456.8,"--","--",735.4
"Support","--","--","--",88.3,"--","--",111
"Other Support","--","--","--",88.3,"--","--",111
"Initial Spares","--","--","--",0,"--","--",0
"MILCON","0.0","0.0","--",0,"0.0","0.0",0
"Acq O&M","0.0","0.0","--",0,"0.0","0.0",0
"Total","2977.3","5527.5","N/A",5124.8,"3290.3","6885.4",6390.4
