"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","717.5","761.3","837.4",761.3,"739.3","780.4",780.4
"Procurement","16084.2","21873.7","24061.1",20670.1,"20107.8","27314.2",25880.4
"Flyaway","--","--","--",19500.9,"--","--",24438.1
"Recurring","--","--","--",19280.6,"--","--",24184.4
"Non Recurring","--","--","--",220.3,"--","--",253.7
"Support","--","--","--",1169.2,"--","--",1442.3
"Other Support","--","--","--",975.5,"--","--",1197.9
"Initial Spares","--","--","--",193.7,"--","--",244.4
"MILCON","0.0","0.0","--",0,"0.0","0.0",0
"Acq O&M","0.0","0.0","--",0,"0.0","0.0",0
"Total","16801.7","22635.0","N/A",21431.4,"20847.1","28094.6",26660.8
