"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","417.2","417.2","458.9",444.4,"380.7","380.7",409.6
"Procurement","3193.4","3193.4","3512.6",3386.9,"3159.0","3159.0",3392.3
"Flyaway","--","--","--",3354.1,"--","--",3363.2
"Recurring","--","--","--",3354.1,"--","--",3363.2
"Non Recurring","--","--","--",0,"--","--",0
"Support","--","--","--",32.8,"--","--",29.1
"Other Support","--","--","--",32.8,"--","--",29.1
"Initial Spares","--","--","--",0,"--","--",0
"MILCON","0.0","0.0","0.0",0,"0.0","0.0",0
"Acq O&M","0.0","0.0","0.0",0,"0.0","0.0",0
"Total","3610.6","3610.6","N/A",3831.3,"3539.7","3539.7",3801.9
